ComplaintId,CaseDisposition,WebsiteDocumentFileName,ClosedDate,totalPosted,totalClosedCase,LastPublishDate
201401533,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201401533_RedactedClosingReport.pdf,02/23/2015,2642,14475,02/01/2024
201401583,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201401583_RedactedClosingReport.pdf,02/26/2015,2642,14475,02/01/2024
201401627,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201401627_RedactedClosingReport.pdf,01/09/2015,2642,14475,02/01/2024
201401633,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201401633_RedactedClosingReport.pdf,03/11/2015,2642,14475,02/01/2024
201401749,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201401749_RedactedClosingReport.pdf,03/06/2015,2642,14475,02/01/2024
201401752,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201401752_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201401986,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201401986_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201402042,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402042_RedactedClosingReport.pdf,07/17/2015,2642,14475,02/01/2024
201402074,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402074_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201402243,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402243_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201402264,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402264_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201402388,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402388_RedactedClosingReport.pdf,04/28/2015,2642,14475,02/01/2024
201402418,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402418_RedactedClosingReport.pdf,02/23/2015,2642,14475,02/01/2024
201402580,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402580_RedactedClosingReport.pdf,02/09/2015,2642,14475,02/01/2024
201402689,Substantiated (Command Discipline B),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201402689_RedactedClosingReport.pdf,06/25/2015,2642,14475,02/01/2024
